date,stock,symbol,sentence,traded,reason
2026-03-25,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",True,three lights green -> paper order
2026-03-27,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-03-30,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-01,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",True,three lights green -> paper order
2026-04-02,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-06,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-07,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-08,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-09,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-10,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-13,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-15,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-16,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-17,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",False,stock already has a position
2026-04-20,2674433,UNITDSPR,"UNITDSPR, daily: when its EMA trend is in its lowest 20% → it tends to go UP over the next 20 days.",True,three lights green -> paper order
